2025-10-15 06:28:14.895  INFO com.example.service.AddService - method:GET | request:/api/various/these | statusCode:500
2025-10-15 06:28:17.895  INFO com.example.service.NeverService - method:GET | request:/api/economy/compare | statusCode:401
2025-10-15 06:28:18.895  INFO com.example.service.DuringService - method:GET | request:/api/we/tonight | statusCode:404
2025-10-15 06:28:20.895  INFO com.example.service.SeaService - method:PUT | request:/api/operation/land | statusCode:204
2025-10-15 06:28:26.895  INFO com.example.service.StandService - method:PUT | request:/api/yeah/fall | statusCode:403
2025-10-15 06:28:19.895  INFO com.example.service.ConditionService - method:PUT | request:/api/economy/compare | statusCode:401
2025-10-15 06:28:20.895  INFO com.example.service.FactorService - method:PATCH | request:/api/why/according | statusCode:201
2025-10-15 06:28:28.895  INFO com.example.service.ProtectService - method:DELETE | request:/api/cup/Democrat | statusCode:500
2025-10-15 06:28:38.895  INFO com.example.service.HeadService - method:PUT | request:/api/see/himself | statusCode:200
2025-10-15 06:28:23.895  INFO com.example.service.OneService - method:GET | request:/api/remain/board | statusCode:500
2025-10-15 06:28:24.895  INFO com.example.service.AddService - method:PATCH | request:/api/area/during | statusCode:201
2025-10-15 06:28:25.895  INFO com.example.service.DetailService - method:POST | request:/api/value/far | statusCode:201
2025-10-15 06:28:38.895  INFO com.example.service.SiteService - method:GET | request:/api/land/laugh | statusCode:201
2025-10-15 06:28:40.895  INFO com.example.service.SoldierService - method:PATCH | request:/api/unit/prove | statusCode:404
2025-10-15 06:28:28.895  INFO com.example.service.ReportService - method:GET | request:/api/future/challenge | statusCode:404
2025-10-15 06:28:44.895  INFO com.example.service.FriendService - method:POST | request:/api/value/far | statusCode:401
2025-10-15 06:28:46.895  INFO com.example.service.HalfService - method:DELETE | request:/api/election/catch | statusCode:502
2025-10-15 06:28:31.895  INFO com.example.service.AirService - method:DELETE | request:/api/help/happen | statusCode:403
2025-10-15 06:29:08.895  INFO com.example.service.PresidentService - method:DELETE | request:/api/land/laugh | statusCode:201
2025-10-15 06:28:52.895  INFO com.example.service.HeadService - method:DELETE | request:/api/we/tonight | statusCode:500
2025-10-15 06:29:14.895  INFO com.example.service.EveningService - method:DELETE | request:/api/phone/something | statusCode:204
